filename,width,height,mode,format,average-red,average-green,average-blue
4191.jpg,170,255,RGB,JPG,177.0697808535179,167.8700115340254,156.64002306805077
3834.jpg,385,255,RGB,JPG,190.8967048637637,142.94745098039218,97.7106595365419
1569.jpg,386,255,RGB,JPG,168.31021030173727,124.07237630803616,89.68491313623895
4479.jpg,169,255,RGB,JPG,140.64443670959508,121.26439262095371,103.20772711451444
1500.jpg,296,255,RGB,JPG,161.491653418124,142.71626921038686,135.3614467408585
5190.jpg,256,256,RGB,JPG,226.13412475585938,224.5419158935547,221.82070922851562
561.jpg,384,256,RGB,JPG,213.00606282552081,197.9283447265625,191.19840494791666
564.jpg,384,256,RGB,JPG,200.75751749674478,207.61184692382812,214.04237874348956
1932.jpg,384,256,RGB,JPG,127.43072509765625,71.50259399414062,58.724822998046875
5022.jpg,384,256,RGB,JPG,230.62142944335938,215.75595092773438,210.15970865885416
3975.jpg,384,256,RGB,JPG,81.92047119140625,91.01676432291666,94.63151041666666
1203.jpg,384,256,RGB,JPG,120.75295003255208,109.62112426757812,102.6658223470052
5817.jpg,285,255,RGB,JPG,72.94559339525283,62.83178534571723,108.40898520811832
2139.jpg,384,256,RGB,JPG,214.64473470052081,211.3899943033854,206.53842163085938
3153.jpg,384,256,RGB,JPG,207.05825805664062,187.53673299153644,170.38646443684894
3882.jpg,341,256,RGB,JPG,221.4199046920821,221.74906066715542,216.6824024010264
1062.jpg,183,255,RGB,JPG,153.9050680381442,121.48411014679095,88.14766955962713
2292.jpg,364,256,RGB,JPG,110.12258542239012,93.85672433035715,89.84977034684067
4542.jpg,342,256,RGB,JPG,123.14024808114034,138.58060352704678,69.84906112938596
4764.jpg,362,256,RGB,JPG,126.86020588743094,81.22973497928176,44.74101130870166
5448.jpg,384,256,RGB,JPG,216.37338256835938,178.6665547688802,171.135986328125
867.jpg,245,255,RGB,JPG,187.82136854741898,187.93390956382555,187.66796318527412
615.jpg,170,255,RGB,JPG,130.1842675893887,128.2711418685121,117.94382929642445
2952.jpg,384,256,RGB,JPG,99.05863444010416,121.45880126953125,108.81599934895833
1788.jpg,260,255,RGB,JPG,39.18336349924585,150.60717948717948,188.2308597285068
5232.jpg,384,256,RGB,JPG,181.0783487955729,177.97384643554688,169.13394165039062
5406.jpg,464,256,RGB,JPG,93.42278421336206,119.59183054956897,92.69890726023706
4281.jpg,192,255,RGB,JPG,194.69515931372547,184.6032883986928,189.64667075163396
5943.jpg,169,255,RGB,JPG,130.33133774219746,106.89237730595197,83.82113934331129
333.jpg,341,256,RGB,JPG,145.69090221774192,127.95093704178886,125.71387005131965
3942.jpg,384,255,RGB,JPG,111.42217116013072,111.63263888888888,97.68249591503267
2775.jpg,384,256,RGB,JPG,121.19010416666666,130.577392578125,130.53406778971353
1536.jpg,306,256,RGB,JPG,186.2177925857843,174.18046619689542,167.06478502859477
3207.jpg,384,256,RGB,JPG,118.20023600260416,100.83816528320312,85.72127278645833
4716.jpg,170,255,RGB,JPG,139.41086505190313,110.0083506343714,85.55121107266436
4095.jpg,303,256,RGB,JPG,222.75422854785478,233.78993915016503,213.8683864480198
1197.jpg,384,256,RGB,JPG,162.68189493815103,175.57584635416666,180.4412841796875
4611.jpg,170,255,RGB,JPG,113.85402537485582,94.00166089965398,84.16574394463669
2064.jpg,384,256,RGB,JPG,231.44357299804688,211.60415649414062,219.26934814453125
2172.jpg,382,256,RGB,JPG,109.23877208769635,94.38750613547121,61.93400278141362
6135.jpg,169,255,RGB,JPG,227.63916927717833,168.21492052442278,177.01067409212206
5610.jpg,384,256,RGB,JPG,240.81424967447916,214.63070678710938,199.69300333658853
3972.jpg,383,256,RGB,JPG,88.71841343015666,165.44244655678852,78.89466383812011
4461.jpg,192,256,RGB,JPG,175.12239583333331,136.78006998697916,106.48710123697916
162.jpg,384,256,RGB,JPG,148.31130981445312,151.5040791829427,103.35582478841145
234.jpg,170,255,RGB,JPG,138.77778546712804,82.560830449827,78.70283737024222
3015.jpg,384,256,RGB,JPG,206.08649698893228,172.66633097330728,207.25677490234375
4872.jpg,384,256,RGB,JPG,214.17304484049478,183.57035319010416,177.54446411132812
4866.jpg,341,256,RGB,JPG,153.4486345307918,127.04601585410558,142.45485474706746
3996.jpg,384,256,RGB,JPG,202.1430460611979,140.03265380859375,93.46671549479166
552.jpg,170,255,RGB,JPG,190.28618223760094,169.21937716262977,150.6042675893887
5481.jpg,384,255,RGB,JPG,181.77306985294118,165.9001736111111,153.49518995098038
1983.jpg,170,255,RGB,JPG,184.05167243367936,163.9452364475202,142.6120184544406
2718.jpg,384,256,RGB,JPG,205.36236572265625,194.49585978190103,170.18218994140625
129.jpg,170,255,RGB,JPG,76.35430219146483,49.98290657439446,32.479630911188
63.jpg,440,256,RGB,JPG,177.05292080965907,176.58030007102272,176.8161221590909
2229.jpg,384,256,RGB,JPG,154.173583984375,156.90408325195312,160.346435546875
1545.jpg,302,256,RGB,JPG,235.8177773178808,221.80420891970198,209.11234995860926
2130.jpg,170,255,RGB,JPG,120.12006920415226,135.83889273356402,80.67160322952711
5832.jpg,334,255,RGB,JPG,128.3564165786075,155.27224374779854,76.79502172126335
4653.jpg,384,256,RGB,JPG,195.48639933268228,229.04781087239581,137.3484395345052
306.jpg,170,255,RGB,JPG,218.0678431372549,213.13497116493656,209.10309111880048
3435.jpg,341,256,RGB,JPG,187.68980251099705,46.921771902492665,55.95452254398827
1440.jpg,335,256,RGB,JPG,121.42889458955224,133.82449860074627,142.3887010261194
4812.jpg,170,255,RGB,JPG,115.50934256055363,109.10846597462515,61.28246828143022
5595.jpg,321,256,RGB,JPG,201.94740556853583,170.15420560747663,171.90526431074767
2829.jpg,401,256,RGB,JPG,103.62771781483791,95.49513910536159,83.14295316396509
3117.jpg,384,256,RGB,JPG,151.69782511393228,160.91427612304688,159.95255533854166
3327.jpg,382,256,RGB,JPG,118.16972758507855,127.58281863547121,137.38569617146598
213.jpg,198,255,RGB,JPG,247.09267181620123,237.33341255694197,188.7462863933452
30.jpg,384,256,RGB,JPG,183.01542154947916,152.73773193359375,91.70494588216145
42.jpg,384,256,RGB,JPG,218.08978271484375,188.86639404296875,181.96061197916666
96.jpg,170,255,RGB,JPG,220.95324106113034,201.99414071510958,170.08705882352942
462.jpg,257,255,RGB,JPG,204.53826199740595,188.30063324940872,186.10992599374381
1278.jpg,170,255,RGB,JPG,186.61928489042677,183.8768858131488,177.56350634371395
5343.jpg,384,256,RGB,JPG,230.92825317382812,214.73173014322916,193.12152099609375
2484.jpg,384,256,RGB,JPG,76.24428304036458,93.85272216796875,114.76485188802083
2316.jpg,384,255,RGB,JPG,87.0250408496732,110.34044117647058,139.62589869281044
5466.jpg,474,256,RGB,JPG,230.1173111155063,219.9523256197257,196.33792358913502
4134.jpg,170,255,RGB,JPG,65.16117647058823,72.5959630911188,73.92147635524799
2121.jpg,170,256,RGB,JPG,123.87504595588236,106.67290900735294,95.45751378676471
3723.jpg,341,256,RGB,JPG,237.14443960777126,208.9717398277126,205.9103166239003
1830.jpg,170,255,RGB,JPG,246.6472895040369,239.05587081891582,230.52226066897347
4140.jpg,334,256,RGB,JPG,196.21189651946108,191.14940821482037,184.46696061002996
285.jpg,392,256,RGB,JPG,138.03345224808672,123.45185945471938,123.27620774872447
6036.jpg,334,255,RGB,JPG,135.45041681343196,131.99067746859222,122.17644710578843
